chave;ano;Sigla;dsc_tribunal;secao;trib;cn1;CnCCrim1;CnCNCrim1;CnExtFisc1;CnExtNFisc1;ExeJudCrimPL1;ExeJudCrimNPL1;ExeJudNCrim1;cp1;CpCCrim1;CpCNCrim1;CpExtFisc1;CpExtNFisc1;ExeJudPCrimPL1;ExeJudPCrimNPL1;ExeJudPNcrim1;susc1;susexfisc1;susexnfisc1;sus1;cntr;CnCrimTR;CnNCrimTR;cptr;CpCrimTR;CpNCrimTR;sustr;cnje;CnCCrimJE;CnCNCrimJE;ExeJudJE;cpje;CpCCrimJE;CpCNCrimJE;ExeJudPJE;suscje;susexje;susje;sus1jetr;CP;SUS;Tram;Dpj;DPeI;DPCO;dpjio;MagPAe1;MagPAeJE;MagPAeTR;MagPAcJE1;MagPAcTR1;MagPAcTRJE;MagAJ1;MagAJJE;MagAJTR;Mag;TPEfet;TPCed;TPReq;TPSV;Serv;tpefetae1;tpefetaeje;tpefetacje1;tpefettr;TpEfet1jetr;tpiae1;tpiaeje;tpiacje1;tpitr;tpi1jetr;tpsvae1;tpsvaeje;tpsvacje1;tpsvtr;tpsv1jetr;tasae1;tasaeje;tasacje1;tastr;Tpaf1jetr;tbaix1;TBaixCCrim1;TBaixCNCrim1;TBaixExtFisc1;TBaixExtNFisc1;TBaixJudCrimNPL1;TBaixJudCrimPL1;TBaixJudNCrim1;tbaixtr;TBaixCrimTR;TBaixNCrimTR;tbaixje;TBaixCCrimJE;TBaixCNCrimJE;TbaixJudJE;Tbaix;cp.sus;cp.sus.fisc;tbaix.sus.fisc;cp.sus.fisc.penal;tbaix.sus.fisc.penal;mag1je;pib;h1;g1;g7;f2;f3;cm1je;k1je;ipm1je;ipsjud1je;iad1je;tc1je
TRF1_DF_2012;2012;TRF1;TRF 1ª Região;DF;0;33820;3995;16492;11675;966;3;0;689;182942;3844;51970;93604;7357;63;124;25980;;;;;10191;5;10186;17536;6;17530;;16020;83;15937;0;39920;119;39801;0;;;;;240398;0;300429;211457361;42440016;;169017345;30;8;3;1;0;1;3;1;0;39;690;69;96;2;719;;;;;;;;;;;;;;;;;;;;;59659;4457;29572;17387;1918;50;36;6239;11046;7;11039;31144;95;31049;0;101849;240398;146794;84462;146607;84376;36;164101336475;2648532;0,00129;79,83946;1,47251;27,14711;1365,22222;7575,05556;2522,30556;126,29068;1,82189;0,66702
TRF1_GO_2012;2012;TRF1;TRF 1ª Região;GO;0;22884;2999;6768;12609;400;7;0;101;120810;3439;13749;94234;3771;258;176;5183;;;;;11353;0;11353;12294;3;12291;;31689;59;31630;0;45725;79;45646;0;;;;;178829;0;244755;149826587;15834381;;133992206;16;4;3;7;5;0;0;1;0;34;564;8;30;2;588;;;;;;;;;;;;;;;;;;;;;24161;3888;10290;7767;341;46;103;1726;6218;2;6216;51860;66;51794;0;82239;178829;84595;74472;84161;74323;31;138757825030;6154996;0,00108;24,34227;0,55240;9,55321;1756,93548;7132,51613;2452,29032;129,28741;1,39301;0,65618
TRF1_MT_2012;2012;TRF1;TRF 1ª Região;MT;0;13968;3508;4417;5401;603;2;1;36;55428;5981;13901;29064;2899;373;18;3192;;;;;4745;2;4743;5091;3;5088;;13453;52;13401;0;21290;121;21169;0;;;;;81809;0;113975;80057577;7750935;;72306641;12;0;0;1;5;0;0;1;0;17;317;2;14;1;330;;;;;;;;;;;;;;;;;;;;;18366;4324;8137;4495;357;12;164;877;3253;2;3251;18706;96;18610;0;40325;81809;52745;35830;52354;35654;17;79665691137;3115336;0,00100;25,69789;0,54569;10,59276;1610,70588;6125,82353;2180,70588;112,33939;1,35196;0,64401
TRF1_MG_2012;2012;TRF1;TRF 1ª Região;MG;0;70548;10772;29479;27960;1278;56;6;997;377404;17915;78983;239104;12852;598;531;27421;;;;;38878;9;38869;61005;12;60993;;84967;262;84705;0;198983;358;198625;0;;;;;637392;0;831785;434282852;54628670;;379654181;80;9;8;5;10;5;3;2;0;112;1624;19;116;5;1726;;;;;;;;;;;;;;;;;;;;;113692;17465;58683;25198;1752;250;389;9955;20227;0;20227;159706;255;159451;0;293625;637392;398288;268427;397159;267788;104;442282829874;19855332;0,00098;21,87235;0,56408;8,69288;1485,15385;7037,51923;2628,82692;158,39977;1,75802;0,62646
TRF1_AC_2012;2012;TRF1;TRF 1ª Região;AC;0;2558;993;750;590;214;0;7;4;10031;1021;1621;5992;465;132;94;706;;;;;2971;0;2971;5153;0;5153;;8633;104;8529;0;7381;92;7289;0;;;;;22565;0;36727;33550348;4758941;;28791407;1;0;2;2;0;2;0;0;0;7;121;0;5;0;126;;;;;;;;;;;;;;;;;;;;;2732;1010;1180;291;82;18;19;132;2782;0;2782;9246;88;9158;0;14760;22565;16573;14469;16347;14432;5;10137924705;758786;0,00331;44,21582;0,92253;16,60547;2236,00000;5720,60000;2395,60000;95,06349;1,07032;0,58123
TRF1_AM_2012;2012;TRF1;TRF 1ª Região;AM;0;9571;2342;2032;4626;237;9;2;323;54959;3367;4825;42706;1337;165;192;2367;;;;;5698;1;5697;3746;0;3746;;10197;25;10172;0;6858;71;6787;0;;;;;65563;0;91029;58761485;7117229;;51644256;1;0;3;0;7;1;0;0;0;12;243;4;17;0;256;;;;;;;;;;;;;;;;;;;;;13249;3016;3342;6001;99;37;90;664;3823;0;3823;14741;46;14695;0;31813;65563;22857;25812;22500;25685;9;72242700676;3590985;0,00081;16,36361;0,33417;7,12896;2159,33333;9065,00000;3110,00000;109,33594;1,41592;0,65692
TRF1_AP_2012;2012;TRF1;TRF 1ª Região;AP;0;2610;620;685;1184;29;0;0;92;15185;1252;1839;10596;540;45;33;880;;;;;0;0;0;0;0;0;;3782;29;3753;0;12296;41;12255;0;;;;;27481;0;33873;29816322;2822016;;26994306;6;2;0;0;0;0;0;0;0;8;117;1;17;1;134;;;;;;;;;;;;;;;;;;;;;1667;512;632;456;29;5;2;31;0;0;0;12978;37;12941;0;14645;27481;16885;14189;16807;14182;8;11130867802;698602;0,00268;42,67998;1,14514;19,18116;787,50000;4234,12500;1830,62500;109,29104;2,29115;0,56765
TRF1_PA_2012;2012;TRF1;TRF 1ª Região;PA;0;23883;3998;6600;12843;256;4;0;182;90336;8075;13336;61271;2255;257;279;4863;;;;;9700;3;9697;19271;4;19267;;45891;31;45860;0;67512;84;67428;0;;;;;177119;0;256593;108828147;12193034;;96635113;12;1;0;0;6;0;0;1;0;18;429;4;22;0;447;;;;;;;;;;;;;;;;;;;;;19691;4301;7098;6909;279;45;73;986;14689;1;14688;57305;46;57259;0;91685;177119;115848;84776;115312;84658;18;107080880914;7822205;0,00102;13,91272;0,23011;5,71450;3866,00000;12645,66667;4277,55556;172,25056;1,10351;0,66174
TRF1_RO_2012;2012;TRF1;TRF 1ª Região;RO;0;7850;2242;2251;3076;64;205;0;12;31736;3244;5600;20199;834;443;57;1359;;;;;4243;8;4235;6523;2;6521;;9035;79;8956;0;24811;174;24637;0;;;;;63070;0;84198;46478861;3665128;;42813734;6;2;4;0;0;0;0;0;0;12;187;7;25;0;205;;;;;;;;;;;;;;;;;;;;;8893;3005;2833;2490;102;23;242;198;3393;7;3386;15455;61;15394;0;27741;63070;42871;25251;42371;24986;8;30112720320;1590011;0,00154;29,23179;0,75471;12,89299;2083,50000;9179,00000;3043,50000;118,77073;1,44199;0,66843
TRF1_RR_2012;2012;TRF1;TRF 1ª Região;RR;0;4095;1118;829;2022;77;1;0;48;9681;1455;1416;5833;497;51;23;406;;;;;1471;4;1467;2601;0;2601;;3748;39;3709;0;8195;60;8135;0;;;;;20477;0;29791;25542399;2807276;;22735123;1;2;1;0;0;0;0;0;0;4;90;4;16;0;102;;;;;;;;;;;;;;;;;;;;;3782;1477;1246;817;79;10;23;130;1042;5;1037;9421;6;9415;0;14245;20477;14644;13428;14570;13395;3;7711467115;469524;0,00331;54,40063;0,85193;21,72413;2598,00000;8573,00000;4401,00000;129,44118;1,68341;0,48664
TRF1_TO_2012;2012;TRF1;TRF 1ª Região;TO;0;9128;1614;1508;5796;200;4;0;6;15706;1933;2289;10205;587;209;1;482;;;;;1126;4;1122;3106;5;3101;;12294;33;12261;0;10313;35;10278;0;;;;;29125;0;51673;40953987;1708736;;39245251;2;1;2;0;0;1;0;0;0;6;143;4;12;0;151;;;;;;;;;;;;;;;;;;;;;5855;1692;1660;2239;83;0;40;141;2573;3;2570;10214;30;10184;0;18642;29125;18920;16403;18710;16363;4;20684429940;1417694;0,00198;28,88775;0,42322;10,65110;5353,00000;11860,25000;4017,25000;106,41722;0,75012;0,66128
